numrows,time_limit,numagents,numitems,total_value,max_balance_payment,runtime
80.0,10.0,68.0,56.0,961162966.0,339837.5014820695,10.115298099990468
80.0,20.0,68.0,56.0,961162966.0,285327.3753368361,20.09464030002709
80.0,30.0,68.0,56.0,961162966.0,285327.3753368361,30.06745530001353
85.0,10.0,71.0,59.0,963871721.0,278.0666203200817,0.9789836999843828
85.0,20.0,71.0,59.0,963871721.0,278.0666203200817,1.1097698000376113
85.0,30.0,71.0,59.0,963871721.0,278.0666203200817,0.9537595000001602
90.0,10.0,76.0,60.0,965406335.0,238.605672955513,3.193959800002631
90.0,20.0,76.0,60.0,965406335.0,238.605672955513,3.145824300008826
90.0,30.0,76.0,60.0,965406335.0,238.605672955513,3.052893999963999
95.0,10.0,81.0,62.0,966392888.0,271.3154180943966,1.099283599993214
95.0,20.0,81.0,62.0,966392888.0,271.3154180943966,1.0472700000391342
95.0,30.0,81.0,62.0,966392888.0,271.3154180943966,1.013323199993465
100.0,10.0,85.0,65.0,969817729.0,283286.35491122585,10.106603599968366
100.0,20.0,85.0,65.0,969817729.0,283286.35491122585,20.28677270002663
100.0,30.0,85.0,65.0,969817729.0,283286.35491122585,30.13525659998413
105.0,10.0,88.0,67.0,972129042.0,402.478381305933,9.601320199959446
105.0,20.0,88.0,67.0,972129042.0,402.478381305933,8.129652700037695
105.0,30.0,88.0,67.0,972129042.0,402.478381305933,7.557525400014128
110.0,10.0,93.0,69.0,975855947.0,362.9139942526817,10.126900199975353
110.0,20.0,93.0,69.0,975855947.0,362.9139942526817,10.857041499984916
110.0,30.0,93.0,69.0,975855947.0,362.9139942526817,11.41695800004527
115.0,10.0,98.0,69.0,976732888.0,657873.3824215531,10.222378899983596
115.0,20.0,98.0,69.0,976732888.0,362.3735458636656,11.692319500027224
115.0,30.0,98.0,69.0,976732888.0,362.3735458636656,12.369016599957831
120.0,10.0,103.0,69.0,977390595.0,381.1316807568073,5.4791898999828845
120.0,20.0,103.0,69.0,977390595.0,381.1316807568073,5.182344600034412
120.0,30.0,103.0,69.0,977390595.0,381.1316807568073,4.593889500014484
125.0,10.0,108.0,69.0,978998292.0,83838.44039072562,10.167648100003134
125.0,20.0,108.0,69.0,978998292.0,380.9988251328468,10.810317699972074
125.0,30.0,108.0,69.0,978998292.0,380.9988251328468,11.184894800011534
130.0,10.0,113.0,72.0,982059279.0,395.1736890077591,6.358714500034694
130.0,20.0,113.0,72.0,982059279.0,395.1736890077591,5.468201900017448
130.0,30.0,113.0,72.0,982059279.0,395.1736890077591,5.195118799980264
135.0,10.0,118.0,73.0,983753186.0,4109.431187298149,10.133768300001975
135.0,20.0,118.0,73.0,983753186.0,413.0778688788414,14.320317000034263
135.0,30.0,118.0,73.0,983753186.0,413.0778688788414,15.183321799966508
